Iteration,test_preds,estimated_params
11,"[-0.23000646, -0.33903503, 4.272921, 1.4780531, 1.2443839, -1.4566555, 0.44607368, 0.014668375, -0.15916616, -0.33324707, -0.17139441, 0.05004984, -0.006082803, 0.10356371, -0.20854956, -0.11922482, -0.0043545254, 0.08686201, -0.07854134, -0.040372625, -0.055030786]","[2.6486287, 2.0107858, 1.6423982, 1.558823, 3.7256496, 2.966764, 4.238578, 3.341312, 0.74499327, 2.595925]"
12,"[-0.97669804, 2.565188, 2.2746263, -3.0255852, 0.36369276, 2.5877662, 0.35440117, -0.28683716, 0.002533853, 0.38584918, 0.10301684, 0.17915846, 0.03703165, -0.007924482, -0.21675028, 0.0093515515, 0.2701144, 0.01365583, -0.08242622, -0.0023547113, -0.06387679]","[4.8889804, 4.1082363, 4.3143106, 3.928474, 3.5945163, 4.331631, 1.0320175, 2.5107644, 1.6294037, 4.3453364]"
13,"[0.34103405, 0.82710457, -3.6499906, 0.6088965, -2.5354617, -4.80289, -0.16077015, -0.035014093, 0.12729166, 0.11237851, 0.29654545, -0.2793751, 0.02682332, -0.10411, 0.19665281, 0.02282162, -0.18535349, 0.023585547, 0.09281519, 0.08716694, 0.07524512]","[0.6177799, 0.9831881, 0.97679394, 2.1071615, 1.315063, 2.3630447, 4.5270786, 0.651041, 4.453696, 2.041072]"
14,"[0.2714913, -1.0434732, -4.406399, -2.746251, 0.21675587, 0.8546827, 0.038755596, 0.29568794, -0.32394516, 0.42047542, -0.44427025, 0.07329881, -0.15201044, 0.22134285, 0.15027587, -0.10941209, 0.022843445, -0.098761894, 0.05739376, -0.023174755, -0.060036574]","[1.4489205, 3.5348563, 2.4499106, 1.6777635, 2.018944, 0.9545631, 0.19807039, 3.5068789, 2.5669854, 3.5193455]"
15,"[-0.9477589, 3.6604881, 2.6389077, 0.50425553, -0.26939356, 0.19143105, -0.34813476, 0.35611564, 0.45039394, -0.3279978, 0.030039191, -0.23375514, 0.1269551, -0.039629605, -0.022035636, 0.048809685, 0.05104518, 0.05392859, 0.116372675, -0.04662314, 0.015578426]","[4.006372, 0.1005, 3.2627358, 2.2241595, 3.0503867, 3.6852517, 4.004701, 1.897775, 4.1494427, 0.5898882]"
16,"[-0.48902988, 1.0766306, 0.3086686, -3.4687848, 4.59669, -2.2705526, -0.039944068, -0.01285553, 0.034644157, 0.30744776, 0.18295342, 0.018574595, 0.19513115, -0.01967543, -0.20866236, 0.08887501, -0.07059257, 0.067684665, -0.062253475, -0.20629019, 0.09953249]","[3.2934728, 3.561429, 1.2012267, 0.277699, 4.6250553, 3.5915053, 1.4576609, 1.7912128, 2.7149282, 2.5529556]"
17,"[0.45356512, -1.1779337, -1.7908206, 4.20146, -2.179747, 1.5357538, 0.5279603, -0.44416267, 0.01085639, -0.13637689, -0.0005108011, 0.049804017, -0.28815538, 0.09515238, -0.019707352, 0.12178635, 0.042407025, 0.023652941, -0.046220906, 0.03855291, 0.008701533]","[1.7126355, 2.3857148, 3.6064987, 4.3786983, 0.64805865, 1.7646484, 3.0325646, 3.2815545, 0.8342099, 3.7129269]"
18,"[-0.09538245, -1.338872, 0.31619358, -3.9760184, 1.2041571, -0.16461849, -0.13892423, -0.02761811, 0.026615584, 0.33138812, -0.37826514, 0.21574745, -0.05086164, 0.07098949, -0.15927157, -0.18364778, -0.021874234, -0.023536872, -0.0024487302, 0.07808189, 0.012706868]","[1.9654235, 4.0100303, 1.1591089, 2.774631, 3.8259113, 2.3864133, 0.38395694, 3.5672448, 2.0564463, 1.7158839]"
19,"[-0.8269943, 4.169381, -0.7794507, 1.2228527, -0.17131805, 0.9325373, 0.14484936, -0.17665938, 0.30394828, -0.1059778, 0.25350845, -0.30582827, 0.0033529848, 0.14097948, 0.22613607, 0.0783103, -0.030552078, -0.0031864494, 0.058332235, -0.07337302, -0.052729562]","[3.4207432, 1.3268856, 3.2221787, 2.533254, 1.1178606, 3.7131946, 3.9698932, 1.0757374, 3.867276, 4.194309]"
20,"[-0.6324763, 2.2294786, -0.4456532, -0.5313039, 0.6025039, 1.8499866, 0.079665184, -0.20598924, 0.17394002, 0.14164777, 0.14347152, -0.07699986, -0.094874054, -0.13694072, 0.033960357, -0.09919263, 0.028519332, -0.0006979257, -0.03747776, 0.044546857, -0.019261543]","[4.087269, 2.66767, 2.263252, 4.110237, 1.7214961, 2.6221097, 1.9108245, 1.8418195, 3.0235422, 2.6434116]"
21,"[1.2546283, -5.0756464, 1.9967337, 2.946075, -2.6367054, -2.7652726, -0.43290997, 0.63532853, -0.545056, -0.016891122, -0.38536817, -0.12502447, -0.08321616, -0.26642394, -0.10214231, -0.14496925, 0.0743881, 0.027980268, -0.16065624, -0.123615324, -0.011760823]","[0.9491876, 1.4291301, 2.4798107, 0.7045494, 3.1733284, 0.5972921, 2.7732553, 3.563761, 1.0559443, 0.78910494]"
22,"[-0.41547483, 2.6230664, -1.2109259, -0.6953318, -2.878391, -0.74559116, -0.013952896, 0.09416425, -0.3814981, 0.2884664, -0.09787915, 0.015918732, 0.0094985, 0.13156645, 0.094057396, 0.16565242, -0.12775809, -0.06753856, -0.046923667, -0.031796366, -0.07749866]","[0.36459076, 3.2757556, 4.2434907, 1.2175022, 2.809191, 1.4994546, 2.4630353, 1.9487777, 3.414285, 3.4037974]"
23,"[0.4059286, -4.3709126, 6.2725983, 2.2160974, 2.7636108, -0.69352484, 0.5656729, -0.5169773, -0.064183325, -0.35197544, -0.034160137, 0.24584866, 0.29017055, -0.29440296, 0.13008192, -0.26801753, -0.14119034, -0.018829748, 0.095309824, 0.09244296, -0.1386137]","[4.342642, 2.4469535, 0.46231005, 3.9078681, 2.5555995, 4.0900726, 3.4468248, 4.296419, 0.2708717, 1.9536624]"
24,"[0.9599604, -5.802666, 0.8406651, 2.0952506, 0.7261528, 2.3901381, -0.83449256, -0.46396866, 0.37354484, 0.18629415, -0.31360537, -0.34511557, 0.019074015, -0.034607768, -0.003670767, -0.0036797076, 0.07242882, 0.0098056495, 0.0033574998, -0.058770955, 0.039421417]","[2.8424587, 4.2835503, 2.7699003, 2.2235012, 0.44183582, 3.1202605, 1.4595021, 2.5941393, 1.7846205, 0.17617339]"
25,"[-0.98794305, 5.063224, 0.45690042, -0.7943996, -0.90405476, -1.3980169, 0.18179125, 0.63554555, 0.25635272, -0.24067551, 0.22233082, 0.00050511956, 0.15585592, 0.029635899, 0.18839945, 0.006970115, -0.14749801, 0.004258573, 0.035211287, 0.025263764, 0.10292214]","[2.077251, 0.62173605, 2.0389738, 2.9096327, 4.7396574, 1.5433717, 4.114263, 0.9355494, 4.661627, 3.589883]"
26,"[2.7658646, -13.297636, 0.12771273, -1.2123463, 1.4895215, 1.7359519, -0.103769064, 0.23047447, -0.2000475, 0.04140401, 0.17704272, 0.30692682, -0.18910122, -0.124522924, 0.32970524, -0.07174122, -0.060327202, 0.017887056, -0.092606425, 0.023398638, 0.22727174]","[2.0508401, 3.2621067, 0.6120492, 3.753606, 2.0487628, 0.5707422, 0.9341464, 1.0733111, 0.6309609, 0.55940694]"
27,"[-1.2380835, 5.6093454, 1.9439945, 1.2069559, -0.29165554, 0.5983567, -0.025187075, 0.06012237, -0.18379438, -0.17233148, 0.040333807, 0.00731425, 0.057550773, 0.20336607, 0.0978302, 0.08318753, 0.08874722, 0.039724916, 0.092177376, -0.04060635, -0.04232967]","[2.9678116, 2.1512966, 4.664161, 0.59747213, 3.0335803, 2.6414516, 4.784957, 3.2608635, 3.615993, 3.5369227]"
28,"[-1.4619225, 5.9528704, 1.8731956, -1.2526248, 1.9893377, 0.3737011, -0.06274822, -0.2925331, -0.056254, 0.14925294, 0.21648684, 0.2901042, 0.25609702, 0.05269576, -0.024131317, -0.11888009, 0.042785265, 0.070220895, -0.030274361, -0.058325183, 0.061761785]","[4.616359, 4.362044, 1.8011569, 2.7026367, 4.7957253, 4.3190327, 2.2695804, 3.4886665, 4.6158853, 3.9228003]"
29,"[1.8310618, -3.8471622, -4.4118657, 3.5017467, -8.817532, -4.8256893, 0.10043017, -0.9301387, -0.4517833, 0.46724755, 0.5612356, -0.6161977, 0.11543441, -0.1354673, -0.18732682, -0.18782854, 0.31685522, 0.32072878, 0.15675929, 0.017114962, 0.09484366]","[0.3065612, 0.6183133, 3.2667823, 1.8727819, 0.5940562, 2.2327158, 3.409985, 2.160301, 1.5240571, 2.5553396]"
30,"[-0.16831481, 2.0774581, -3.3594193, 1.8468163, -1.8029773, 1.427228, -0.21210282, -0.16340512, -0.21076086, 0.18141429, -0.21080723, 0.21788645, -0.090141825, 0.027903363, 0.1837478, 0.06725383, -0.07710549, -0.08681242, -0.0850036, -0.016031004, -0.10360007]","[0.8483398, 4.836225, 4.229629, 2.4932175, 1.231646, 1.2759072, 1.777219, 4.190456, 4.0877976, 2.8263748]"
31,"[-0.6799407, 1.4463654, 3.0660698, -0.16405934, 1.6762414, -0.2048459, -0.111075215, 0.06763548, 0.25022668, -0.15042354, 0.058426037, -0.060591817, 0.052465454, -0.12893508, -0.20478545, -0.15059824, -0.03602969, 0.044912416, 0.07200089, 0.03490816, 0.01936169]","[4.2887774, 1.4067266, 1.35025, 2.9771523, 3.8560407, 3.2057018, 2.9048822, 2.3606966, 2.3656185, 1.2906278]"
32,"[1.2966328, -8.513354, -0.48509502, -11.841026, 2.2153802, 3.1052608, -0.16573295, -0.31795087, -0.61244017, -1.0265551, -0.07915163, 0.37013596, 0.103948124, 0.34422517, -0.055823088, 0.071109295, 0.11249968, 0.26897296, 0.23024315, -0.28187358, -0.103306204]","[2.609349, 3.1094897, 2.4770877, 1.6330037, 3.9471848, 3.6779275, 0.12818547, 0.559375, 0.9769884, 1.6228082]"
33,"[-0.39286816, 3.1666827, -1.7014694, 2.8207073, -2.09744, 0.1500833, 0.22331993, -0.022886038, -0.08148163, -0.19695866, 0.10020061, 0.15070021, -0.19629979, -0.057912625, 0.17362686, 0.0008748695, -0.10386781, -0.027846336, 0.05851552, 0.03854639, -0.074707404]","[1.6902189, 1.5877733, 2.662953, 4.148033, 1.5116255, 1.3749115, 3.9675653, 2.968652, 3.1229668, 4.175013]"
34,"[-0.82511026, 3.4132247, 0.6068342, 0.09097922, -0.44841826, 0.7114358, -0.26006538, -0.13011712, -0.09699842, 0.049980126, -0.15451607, 0.13152674, -0.041480917, 0.020719051, 0.061896548, -0.016335994, 0.011516459, -0.05855626, -0.06295753, 0.035811268, -0.03075935]","[1.7736925, 3.89935, 2.799421, 3.3690264, 2.595957, 2.3164654, 1.9983011, 4.2956386, 3.8167722, 2.033034]"
35,"[-0.68155015, 2.6363385, 1.0459986, -0.5347685, 0.24255767, -0.7210994, 0.445117, 0.20280072, 0.46115828, -0.32862324, 0.09058129, -0.09255099, -0.06733048, 0.13553157, -0.04345442, -0.054578036, -0.007417232, -0.0077417493, -0.013131976, -0.08033355, 0.02453733]","[3.387323, 0.30173072, 1.924189, 2.3002734, 2.4769936, 4.406101, 2.6355252, 2.4250088, 2.2060697, 3.8038542]"
36,"[1.4967558, -6.654562, -5.7229314, -6.251064, -0.028461099, 6.102222, -0.10317704, -1.1352924, -0.14542513, -1.0659071, 0.14964908, 0.2858134, -0.26329893, -0.2687675, -0.10218486, -0.03999734, 0.2608738, 0.43535584, -0.5484277, -0.045880973, -0.06547189]","[3.5066674, 3.6855378, 3.606313, 4.657431, 0.1042, 2.6737309, 0.46485037, 0.404991, 1.3333824, 3.0691721]"
37,"[0.0011672974, -0.13131332, 0.8885453, 1.5247376, 1.8806767, -3.5434701, -0.7854556, 0.58588636, -0.20060182, -0.02231343, -0.37993202, -0.08226982, -0.038613394, -0.11704663, -0.11168982, -0.041783966, -0.07214945, 0.20491011, -0.14712092, 0.08581904, -0.03001853]","[1.2914741, 2.341496, 0.98767376, 0.83990216, 4.6110387, 0.5111352, 3.799858, 2.8517077, 3.0950797, 0.3320097]"
38,"[0.5648935, -3.7669961, -0.44539356, -4.2765107, 0.77653396, -2.8975673, 0.77472556, 0.10995723, -0.41880327, 0.26494464, -0.18051851, -0.18255585, 0.007737845, 0.26332554, -0.21638292, 0.1149223, -0.14821458, -0.031181319, -0.07436706, -0.037912473, 0.041638553]","[0.61932015, 2.538122, 1.419456, 0.7137991, 4.1619515, 1.9400697, 1.2076015, 1.3936217, 0.48512572, 3.894026]"
39,"[-0.80002165, 3.3104484, 1.4357333, 2.9587903, -0.06298372, 1.636595, -0.31962818, -0.3901248, 0.13807231, -0.23680621, 0.014831394, -0.13537821, -0.11112129, -0.027962074, 0.086302206, 0.03935571, 0.09653418, 0.073189154, 0.13602683, -0.009082543, -0.009656018]","[4.476747, 1.7919853, 3.2483127, 4.1899195, 1.0727731, 3.6017966, 4.4620194, 3.6032627, 3.2436862, 1.6311938]"
40,"[-0.36361837, 1.5742435, -1.2014592, 0.52281135, 4.635396, -2.9051342, -0.5414217, -0.47664613, 0.19896783, 0.1012108, -0.057460725, 0.27210593, -0.06232378, -0.26472497, 0.06970033, 0.084102035, -0.073370904, -0.084153846, 0.06828478, -0.04144559, -0.014724358]","[2.5820417, 4.248099, 0.26848093, 1.6772457, 2.086659, 3.5461164, 2.3064003, 3.9035816, 4.786591, 1.0587192]"
41,"[-0.38719547, 1.4387522, 1.5750861, 0.5456953, -2.0849724, 0.6882725, 0.43896633, 0.66336644, 0.049227864, -0.15599766, 0.05009548, -0.041647673, -0.20475215, -0.18124108, -0.027198326, 0.1927165, 0.0024732798, 0.0008535087, 0.056848586, -0.025196008, 0.00586915]","[2.448377, 0.75493425, 4.0833755, 3.570024, 3.498088, 0.7913529, 3.4270346, 1.4362452, 1.6980742, 2.7171884]"
42,"[-0.04031539, -0.33351898, 1.3033195, 3.948343, 1.3961456, -0.35427785, -0.54326856, -0.5797155, -0.10185033, -0.12374204, -0.2777389, -0.26433748, -0.03555423, 0.12847105, -0.069010764, 0.009362396, -0.06924456, 0.09849903, 0.0500385, -0.098087266, -0.042744048]","[2.1793716, 4.9498463, 1.8051991, 1.6860292, 0.8240984, 3.690593, 4.950194, 4.0425572, 1.8612844, 1.1766673]"
43,"[-0.56089914, 2.0084476, -0.8789923, -5.744182, -1.2485008, 1.4595506, 0.15047121, 0.48135006, 0.37924984, -0.009263426, 0.043403704, 0.16072886, 0.058614135, -0.033938825, 0.051404733, 0.03868299, -0.05308339, 0.112620756, 0.044692874, 0.081259295, 0.030657724]","[2.831053, 0.89960986, 2.7585685, 4.40525, 4.456632, 1.8421136, 0.763192, 1.4613364, 3.8588178, 2.8123293]"
44,"[-0.7756915, 3.3567584, -0.97515583, 0.6295729, 2.7624898, 0.012557983, 0.16634734, 0.20867968, -0.37168872, 0.14730898, 0.24242169, -0.14419758, -0.016702682, -0.031753458, 0.11839405, -0.18254422, -0.0332745, 0.034104206, 0.034156546, 0.078193575, 0.049865857]","[4.4235444, 2.8654037, 1.0775846, 2.0105772, 2.9987576, 1.0807239, 3.54615, 1.1908765, 3.0284832, 4.4967237]"
45,"[0.08745432, -0.8976631, 2.2043214, 0.16415086, -3.7075334, -0.85569954, 0.06527546, -0.221095, 0.015622273, -0.10107431, -0.18284178, 0.028410673, -0.092220336, 0.050099075, -0.043078125, 0.054590836, 0.14814974, -0.15051994, -0.07129997, 0.07075485, 0.008401737]","[0.7671449, 1.7589893, 3.4778452, 3.9714794, 2.4638596, 3.0634913, 2.280839, 3.5473862, 1.2734145, 1.8151976]"
46,"[-0.6162348, 2.7371154, -0.7592561, -1.1336138, -1.0194054, 0.6978359, 0.059951484, -0.283954, 0.12157858, 0.25421736, 0.20002148, -0.2724827, 0.059104227, 0.061164975, 0.06900839, 0.1820072, -0.19090822, -0.10233873, -0.057445005, 0.030860621, -0.0019222125]","[1.2646414, 3.291714, 3.4474673, 2.54863, 1.3465866, 4.550607, 3.091615, 0.10890592, 3.4023254, 3.4631705]"
47,"[2.8326006, -12.798587, 9.115482, 1.0325676, 2.7568333, -0.16535902, -0.18249851, 0.38043368, 0.0046945214, 0.24068177, 0.7145816, 0.48592806, 0.17775178, 0.30400005, 0.5726526, -0.28509372, -0.118826, -0.0575929, -0.10428037, -0.10366249, -0.15785813]","[3.650887, 2.3152552, 1.5709159, 1.4921618, 3.0621037, 2.8729932, 1.4835422, 2.9379714, 0.13254425, 0.72104555]"
48,"[-0.8123231, 2.95755, 2.9739275, 2.3947423, -0.43197608, 1.8386095, -0.045728922, 0.22475442, -0.61915064, -0.03201914, -0.06937204, 0.24960172, -0.23159513, -0.24878387, -0.021002583, 0.12413876, 0.0678268, -0.017276987, 0.121795416, -0.0140870735, 0.06322889]","[3.246248, 3.696803, 4.3573723, 3.8988187, 3.8700297, 0.25429815, 4.09771, 4.965363, 1.9112892, 2.1328747]"
49,"[1.525001, -3.7615738, -9.170828, -4.778723, 4.1631846, -6.8856506, -0.015952557, 0.2907645, 0.47984594, 0.14545524, 0.19684945, 0.44467843, -0.013226941, -0.104759246, 0.5457595, 0.8508253, 0.48345566, -0.24820103, 0.4921913, -0.031203378, 0.01739423]","[1.6068233, 0.1067, 0.1023, 0.6389001, 2.0164306, 2.2143383, 0.5538344, 1.6922883, 4.5031943, 3.9034214]"
50,"[-0.9017804, 3.1891692, 2.1089165, -2.641026, -1.5103679, 0.5752051, -0.16963744, 0.2122536, 0.1930841, 0.19866927, 0.095242105, -0.12091127, 0.28320742, 0.054314993, -0.1370412, 0.2867278, -0.086622626, -0.046328723, -0.03680058, 0.036805615, 0.038949013]","[1.456534, 2.522886, 4.4475102, 2.292702, 4.863225, 3.1675246, 2.7656038, 0.43690798, 3.7283654, 1.4859062]"
51,"[1.6603355, -5.3038197, -7.146967, 5.1029887, 1.9030566, 1.0031533, 0.9280344, -0.12474358, 0.35195845, -0.26059356, 0.053830773, 0.24777767, 0.10827774, 0.1642631, -0.32171288, -0.11328018, 0.12606138, -0.04498507, 0.06792291, 0.118428655, 0.062127247]","[3.458378, 1.6526225, 0.70303583, 2.9227548, 0.2966858, 1.0544186, 2.1942453, 2.5435538, 0.6767484, 4.41678]"
52,"[-0.5783198, 1.7302475, 2.1208684, 2.8263335, 1.4158862, 0.95125127, -0.00064599514, -0.04336834, -0.5616672, 0.017124161, -0.111393884, -0.13355191, -0.107920334, 0.13710643, -0.059416972, -0.03841594, 0.07201716, 0.11320125, 0.06360674, -0.031179503, -0.013901528]","[4.2169766, 4.2656236, 3.2537806, 0.9103097, 2.4337523, 1.4873028, 4.161897, 3.710848, 1.657238, 2.3332026]"
53,"[0.115074396, -0.40770817, -1.488019, -5.3026285, -3.49015, -1.2820456, -0.29989854, -0.012075517, 0.39905426, 0.16014601, -0.12550983, 0.1624206, 0.061228573, 0.07863513, 0.018574625, -0.04644896, -0.04044807, 0.09200105, 0.09050119, 0.111140355, 0.078047186]","[1.2578834, 1.0126461, 2.6575525, 3.1262836, 2.4791975, 4.578324, 0.49634004, 2.5054278, 4.312652, 1.225511]"
54,"[-0.6728682, 3.3782558, 1.2838285, 0.9495969, -1.7931454, -1.7975487, -0.04817152, -0.32938027, -0.33208904, -0.119576365, -0.13671264, 0.3050593, -0.11572504, 0.1193282, -0.037789658, -0.04445984, -0.08513299, -0.083687186, -0.08359888, 0.036748867, 0.0038373023]","[0.16797431, 4.182513, 1.3782363, 4.144087, 3.2169316, 2.7151372, 4.647376, 4.5956693, 2.2659419, 3.985332]"
55,"[-0.020123005, 0.9000015, -4.1387076, -0.37508893, 0.14138728, 2.035858, -0.025248632, 0.7369456, 0.115884185, 0.09575574, 0.03674227, -0.22798386, -0.00314207, -0.15975474, 0.21971637, -0.07438614, 0.023716245, -0.009554416, -0.019974649, -0.11482056, -0.1454743]","[4.7711873, 0.8949929, 3.8789058, 1.0265994, 1.8138517, 0.70209974, 1.2576144, 1.5629686, 4.3213305, 2.0604677]"
56,"[0.41590834, -2.6330504, 0.032106876, 3.021391, 0.29307467, 2.0830786, -0.7920473, -0.2074092, 0.31791237, 0.1372312, -0.11627625, -0.49151292, -0.04098627, -0.23350373, -0.10062285, 0.08582494, -0.041895837, 0.045563996, 0.012650639, 0.021654263, 0.09433113]","[2.9499896, 3.3403022, 2.7001507, 2.7302926, 0.9257337, 2.0022585, 2.969626, 1.2772189, 2.5006192, 0.1005]"
57,"[-0.63358784, 1.2578146, 3.9008536, -0.749506, -0.17114127, -0.13874578, 0.44579345, -0.02078548, 0.04388462, -0.14252935, -0.05746609, 0.1060608, 0.04538378, 0.18911915, -0.26768053, 0.017571956, 0.029973581, -0.08864729, -0.021625206, -0.019403443, -0.032736443]","[2.096627, 2.3095388, 2.5299602, 2.782993, 4.721715, 3.9396086, 2.526175, 2.9778416, 1.0553339, 3.189306]"
58,"[0.6323793, -4.9274, 5.2611346, 0.2936912, 0.004671097, 0.44085014, -0.7859515, 0.03632088, 0.20303674, 0.011726625, -0.23224026, -0.008128226, 0.12626964, -0.054516077, -0.06422329, -0.08034749, -0.0019523278, -0.07099947, -0.0025439262, 0.06714618, -0.09214795]","[1.9836532, 2.9930367, 2.0377991, 3.242186, 3.040494, 2.9075794, 2.01461, 2.7452962, 1.2960112, 0.43318594]"
59,"[-0.11270213, 2.3989234, -4.4958105, 2.3194532, -0.54158294, 1.4570947, 0.09651351, 0.88871646, -0.30219865, 0.09656902, 0.14700577, 0.009880424, 0.022576466, -0.32662815, 0.26114276, -0.034497086, -0.20337641, -0.059673164, 0.051063746, -0.07799717, -0.18901768]","[2.888168, 1.736541, 3.002053, 2.0881374, 2.0355742, 0.109, 3.114664, 0.9901399, 4.147648, 3.4851031]"
60,"[0.64198685, -2.3816986, -7.3983383, -5.5711346, 1.9929959, 3.794186, -0.27179813, -0.6941002, 0.015307531, -0.22229707, -0.13922508, 0.34796917, -0.18008375, 0.0021725148, 0.21223734, -0.41930836, 0.16614538, -0.0077458024, 0.20870739, 0.062036753, 0.040510893]","[4.600039, 4.963435, 1.281544, 4.132108, 0.6841848, 2.1611986, 0.18439692, 1.5243088, 3.8319893, 3.2078571]"
61,"[0.3096571, -1.3649483, 4.9479685, 0.7904825, -5.308858, -3.6867254, 0.23159742, -0.3228532, -0.35120004, -0.21743573, -0.049237013, 0.019799162, 0.19961405, 0.048338234, -0.15972781, -0.14535235, 0.27023804, -0.27703133, -0.035623148, -0.034808952, -0.018845629]","[0.21638371, 1.2743688, 3.2579982, 1.8890613, 4.469386, 4.0993075, 4.3483796, 3.766111, 0.7581653, 2.043026]"
62,"[-0.61268973, 1.7857301, 0.6324444, -3.7238486, -0.5655737, 0.055805683, -0.049155027, 0.023901522, -0.039300174, 0.30928317, -0.20075688, 0.052861154, 0.13996142, 0.27106842, -0.11600068, 0.09428809, -0.03553094, -0.082966894, -0.08621572, -0.053011313, 0.0007031113]","[1.1820174, 3.8752413, 3.5700655, 1.1528057, 3.9983866, 3.3467298, 1.112093, 2.098145, 2.855506, 2.747635]"
63,"[1.4285038, -6.0193543, 2.6701007, 6.560573, -0.30330545, 0.939271, -0.29017776, 0.27306065, 0.07221642, -0.5734041, -0.04350695, -0.061544657, -0.14267582, -0.23565218, 0.24152939, -0.0418199, 0.07340714, 0.09847289, 0.0416722, -0.043400947, 0.22793159]","[3.9319763, 0.6720218, 1.8263383, 4.468659, 1.1623465, 0.9660505, 4.779965, 4.797716, 0.770677, 0.8412055]"
