Iteration,test_preds,estimated_params,posterior_means
11,"[-0.30736756, -0.028683253, 4.1327505, 1.4073741, 1.2271144, -1.2665796, 0.41351295, 0.013890733, -0.17456497, -0.3122451, -0.17770422, 0.040083177, -0.031645957, 0.13226281, -0.23294656, -0.118635, -0.024098817, 0.09220366, -0.062053353, -0.03947088, -0.047703236]","[3.819642, 2.9874358, 2.0505555, 2.5215993, 3.2409124, 2.46736, 3.0267024, 2.6992629, 0.977147, 1.7625636]","[2.82161808013916, 2.907090663909912, 2.334798574447632, 2.437589406967163, 3.0766100883483887, 2.628436326980591, 3.138455390930176, 2.5975115299224854, 1.5512923002243042, 2.577704668045044]"
12,"[-0.9651695, 2.5138025, 2.3236299, -2.9128401, 0.38732326, 2.5733936, 0.33164418, -0.28947213, -0.0011034093, 0.38137415, 0.11067112, 0.16444615, 0.046775624, -0.017586011, -0.22522996, 0.020345245, 0.2406601, 0.016411228, -0.091441415, 0.0016549663, -0.05986643]","[1.5806059, 1.4693458, 2.2905023, 1.4574889, 1.9330245, 1.9981064, 1.1344202, 1.5100082, 1.5647554, 1.6626596]","[2.649120807647705, 2.88810658454895, 2.740527391433716, 2.4585072994232178, 3.0339550971984863, 2.778247594833374, 1.6563515663146973, 2.5081300735473633, 2.8953800201416016, 2.5656707286834717]"
13,"[0.2528785, 1.0948336, -3.5574372, 0.8546331, -2.51736, -4.0797386, -0.14938414, -0.04588334, 0.13459311, 0.09805059, 0.23684098, -0.27966067, 0.03945062, -0.017076127, 0.19833186, -0.035519604, -0.2522029, 0.036834106, 0.06964851, 0.070662536, 0.08606133]","[2.1155865, 3.8863347, 3.850534, 3.8162162, 3.2390223, 3.7811017, 4.6462674, 3.9733179, 4.2944098, 3.2461762]","[1.1089067459106445, 2.5573036670684814, 3.855978488922119, 2.3727517127990723, 2.305917739868164, 2.688138484954834, 2.719472646713257, 2.509230852127075, 3.100417137145996, 2.5253875255584717]"
14,"[0.26637095, -1.0813919, -4.425435, -2.920713, 0.107052885, 0.93824905, 0.024780892, 0.2667006, -0.26324937, 0.38546187, -0.44950062, 0.067993596, -0.17654353, 0.19442815, 0.16018653, -0.11861406, 0.0139471935, -0.11326429, 0.0789539, -0.031870134, -0.06574718]","[1.9903889, 2.6913452, 2.4512029, 1.4007608, 2.0625267, 2.0972605, 0.25889236, 1.4932837, 2.1411219, 2.0477207]","[3.0262041091918945, 2.944443941116333, 2.4340789318084717, 2.6631336212158203, 2.1448020935058594, 3.1589019298553467, 1.1480629444122314, 2.893956184387207, 4.251100540161133, 2.1060914993286133]"
15,"[-0.96290743, 3.7180169, 2.5852714, 0.5240509, -0.26343456, 0.24087602, -0.3314476, 0.37145266, 0.4405699, -0.3376177, 0.01870044, -0.22976838, 0.12102015, -0.03854755, -0.024911726, 0.050549164, 0.060328476, 0.06127282, 0.1218193, -0.052860204, 0.011712126]","[1.5124791, 1.2352413, 2.013547, 1.5264964, 2.5911658, 1.5367458, 2.2124429, 1.454674, 1.7900153, 1.1038336]","[2.7556610107421875, 2.382564067840576, 2.890292167663574, 2.1805458068847656, 3.1545610427856445, 2.6478774547576904, 3.3106489181518555, 2.542604446411133, 3.125391960144043, 2.4397776126861572]"
16,"[-0.5114714, 1.2009181, 0.2504143, -3.2667537, 4.5577803, -2.1887927, -0.01253296, 0.017685156, 0.025387052, 0.33490044, 0.15654941, -0.0063318573, 0.19025262, 0.015749697, -0.21359675, 0.047975536, -0.11023424, 0.090144135, -0.06594675, -0.19837634, 0.11771632]","[4.3398967, 4.446722, 2.6503599, 4.837197, 1.7863858, 4.8774185, 0.54226035, 1.4794593, 1.7384647, 4.8999405]","[2.8778209686279297, 2.844970703125, 0.5467588305473328, 1.0534368753433228, 2.5422840118408203, 2.527822494506836, 2.1729681491851807, 2.52001953125, 2.7558836936950684, 2.4952609539031982]"
17,"[0.40524393, -1.173459, -1.4693543, 4.0776877, -1.9903982, 1.5455096, 0.5288735, -0.42390358, 0.0065193176, -0.13838734, -0.02118682, 0.031556156, -0.31188568, 0.077508524, 0.006439412, 0.13179505, 0.02727161, 0.014488148, -0.055609714, 0.045642316, 0.007149768]","[2.0314372, 1.6737217, 2.1206987, 2.3746479, 0.6415848, 2.0821517, 3.2818983, 1.5748059, 1.6942958, 2.5156887]","[2.7436110973358154, 2.452979564666748, 2.8041112422943115, 2.722464084625244, 1.081952691078186, 2.312155246734619, 3.1499621868133545, 2.3982481956481934, 0.8630435466766357, 2.2543888092041016]"
18,"[-0.114205465, -1.3366874, 0.39423367, -3.8453584, 1.3034616, -0.009486102, -0.09766294, -0.015933838, 0.023294555, 0.305463, -0.36505663, 0.20426597, -0.05172681, 0.07021219, -0.15455224, -0.19016616, -0.033596117, -0.03551384, -0.011293405, 0.085584424, 0.0106314095]","[3.127333, 3.4998467, 3.306746, 2.9038577, 3.838143, 3.277949, 1.6857285, 3.3046482, 2.7558637, 3.1272552]","[2.8141794204711914, 2.2831859588623047, 2.466125726699829, 2.4729926586151123, 3.1501269340515137, 2.569181203842163, 1.3213093280792236, 2.911635160446167, 2.653775691986084, 2.4769375324249268]"
19,"[-0.8635515, 4.250151, -0.6248866, 1.1456242, -0.1778457, 0.9156442, 0.13690646, -0.17739178, 0.27957672, -0.09695689, 0.2323061, -0.27576825, -0.006076878, 0.13473946, 0.22971535, 0.07693366, -0.036018, -0.0020397617, 0.06527651, -0.06869381, -0.05737419]","[3.2695835, 3.1628447, 3.6019735, 3.009988, 2.1502292, 3.1331787, 3.5694208, 3.1794658, 3.8038206, 3.1466024]","[2.90932559967041, 2.868401527404785, 3.018145799636841, 2.6332831382751465, 1.8926752805709839, 2.602898359298706, 3.0943284034729004, 2.627917528152466, 3.6691298484802246, 3.005669355392456]"
20,"[-0.63183826, 2.1933327, -0.397239, -0.4476659, 0.58259046, 1.8074763, 0.06645862, -0.19115233, 0.16886073, 0.15161848, 0.12717041, -0.086899444, -0.09458828, -0.1355264, 0.03346703, -0.08972125, 0.027693497, 0.0009620198, -0.039975606, 0.03876881, -0.021587372]","[2.0789096, 1.3652128, 1.8896569, 1.4369166, 1.236895, 1.4932821, 1.4912757, 1.4804832, 1.827906, 1.2443637]","[2.883848190307617, 2.510910749435425, 2.850414514541626, 2.513317584991455, 2.372748374938965, 2.6534323692321777, 2.5663790702819824, 2.639218330383301, 2.990532875061035, 2.3940181732177734]"
21,"[1.1412324, -5.0255833, 2.2260582, 2.6750174, -2.1526027, -2.4601738, -0.40114912, 0.61809886, -0.4693596, -0.07606229, -0.47122335, -0.15076806, -0.10187349, -0.21293046, -0.05226393, -0.12174879, 0.047771007, 0.029541135, -0.1661706, -0.07509045, 0.027050497]","[0.34404564, 0.27648452, 1.2980676, 0.87069756, 0.78210574, 1.2362245, 2.3559988, 0.7971791, 0.42575726, 1.1875426]","[1.8115360736846924, 2.3246045112609863, 2.614790439605713, 2.60760498046875, 2.6249098777770996, 2.572465419769287, 3.0876216888427734, 2.4840240478515625, 1.2627047300338745, 2.517490863800049]"
22,"[-0.44252354, 2.6567962, -1.0404509, -0.68365407, -2.8257666, -0.6914093, -0.024645347, 0.084111795, -0.34823895, 0.26901448, -0.11288137, 0.017602844, -0.0013276268, 0.13532946, 0.10032767, 0.1762157, -0.1360512, -0.06748958, -0.056567837, -0.017038025, -0.075081326]","[0.96009415, 1.5986706, 2.6465228, 2.409028, 2.4513676, 1.9287632, 2.012683, 1.8748544, 3.3882527, 2.5280654]","[1.4364230632781982, 2.5501718521118164, 2.8287484645843506, 2.6063976287841797, 2.5977084636688232, 2.5641937255859375, 2.7230007648468018, 2.430861711502075, 3.3062446117401123, 2.739776611328125]"
23,"[0.4258691, -4.4154887, 6.0195675, 2.2528338, 2.7289536, -0.6459945, 0.5682078, -0.5408176, -0.0503002, -0.36302003, -0.034977343, 0.23163134, 0.29480815, -0.28698197, 0.0848728, -0.28154045, -0.16499512, -0.0049255406, 0.10056063, 0.09409917, -0.13044685]","[2.3096373, 3.1052334, 2.561091, 2.9830961, 3.397841, 3.173394, 3.5485935, 2.8522792, 0.5622231, 1.6272434]","[2.8265485763549805, 3.253194808959961, 2.1327171325683594, 3.420102596282959, 3.2458019256591797, 2.002119541168213, 3.9924981594085693, 3.4999773502349854, 0.8368631601333618, 0.7978441715240479]"
24,"[1.0540013, -6.1321774, 1.0138508, 2.317383, 0.72646075, 2.151688, -0.8971059, -0.4752891, 0.38633698, 0.19735324, -0.3161951, -0.38690788, 0.043724377, -0.06414209, -0.022995383, -0.0014687271, 0.07240116, -0.0019951249, -0.00458037, -0.03371291, 0.034298602]","[3.2343225, 3.229262, 2.8089755, 2.320249, 1.6323249, 2.3749852, 2.0657616, 2.240644, 2.18141, 2.6966112]","[2.6848387718200684, 2.688480854034424, 2.6075878143310547, 2.562887668609619, 1.5604099035263062, 2.398502826690674, 2.442599296569824, 2.2992682456970215, 1.2144074440002441, 2.2258188724517822]"
25,"[-1.0079252, 5.07348, 0.580151, -0.8051248, -1.0477902, -1.1645852, 0.16204083, 0.6257549, 0.2698287, -0.24892269, 0.19281037, 0.0053938394, 0.15781929, 0.04575261, 0.17643395, 0.013657644, -0.15354657, -0.0078433035, 0.0453253, 0.013244745, 0.098348886]","[3.3499072, 3.915648, 3.9475453, 4.1270466, 3.73715, 4.149788, 3.1788368, 3.9837115, 4.916081, 3.9738104]","[2.2942633628845215, 2.3737058639526367, 2.803283929824829, 2.745572566986084, 3.5395071506500244, 2.6353745460510254, 2.9981071949005127, 2.5163848400115967, 3.3218393325805664, 2.7754154205322266]"
26,"[2.4927108, -12.846621, 0.39600328, -0.9609587, 1.3963691, 1.627547, -0.029526321, 0.21882358, -0.13859099, 0.26281643, 0.0780085, 0.23019423, -0.1875439, -0.15628876, 0.37885416, -0.17823566, -0.06995763, 0.002890756, -0.054262966, 0.025135247, 0.23453273]","[1.8803388, 0.1569, 2.2498846, 2.5917535, 1.2116847, 1.3410014, 1.450382, 1.2862278, 0.45546293, 0.6993727]","[2.7688088417053223, 2.4917232990264893, 1.57896089553833, 2.679013729095459, 3.697974920272827, 1.465541958808899, 1.8937209844589233, 2.4911293983459473, 1.426094651222229, 3.4751899242401123]"
27,"[-1.2579198, 5.557288, 1.9191154, 1.2126317, -0.306581, 0.5821223, -0.029320588, 0.056290396, -0.19059874, -0.15748677, 0.03883994, 0.0069494816, 0.057108372, 0.19002208, 0.09472147, 0.08765554, 0.0886426, 0.037791803, 0.08644972, -0.03848046, -0.043608986]","[2.7997572, 2.6386445, 3.6133926, 2.4137425, 3.1086602, 2.3860857, 4.6777425, 2.5949378, 4.3037333, 2.9245985]","[3.229194402694702, 2.604003667831421, 3.4404568672180176, 2.6940112113952637, 3.0573952198028564, 2.93646240234375, 4.133029937744141, 3.09859561920166, 4.327340126037598, 3.454538345336914]"
28,"[-1.4706686, 5.9370146, 1.9562384, -1.2751603, 1.8845851, 0.52231765, -0.07386585, -0.27581814, -0.0569504, 0.12875715, 0.20607798, 0.24515408, 0.26568952, 0.08154733, -0.029099017, -0.1404415, 0.04975161, 0.06879847, -0.03487712, -0.043774482, 0.056619592]","[3.1881125, 3.9168665, 3.1629913, 3.1978047, 4.9280777, 3.789719, 3.1436284, 2.7048285, 4.3431377, 2.9094994]","[4.040929317474365, 3.4641966819763184, 3.5909578800201416, 2.993222713470459, 4.308872699737549, 3.8773365020751953, 3.614819049835205, 2.763911247253418, 4.020575046539307, 3.4639368057250977]"
29,"[1.6166376, -3.2626145, -4.034602, 3.0905612, -8.317837, -4.57326, 0.10265809, -0.7279394, -0.40384364, 0.37725002, 0.4049518, -0.48843703, -0.010130193, -0.13916746, -0.12214026, -0.20197654, 0.38113543, 0.23699403, 0.14928888, 0.0007344631, 0.09592193]","[0.10707424, 0.75279486, 1.7795966, 1.6384954, 0.37393004, 0.8992552, 0.2579, 1.618185, 3.4050417, 0.92159534]","[0.7443285584449768, 3.36782169342041, 2.2603158950805664, 2.4623606204986572, 1.171880841255188, 2.6039340496063232, 2.477862596511841, 2.279250383377075, 2.5450599193573, 2.5882201194763184]"
30,"[-0.23417713, 2.2158737, -3.0585537, 1.888852, -1.6615629, 1.4215162, -0.22541094, -0.18706572, -0.21508819, 0.17580622, -0.19611907, 0.18025711, -0.10476884, 0.013930954, 0.19784056, 0.06945753, -0.07730003, -0.08149769, -0.09524597, -0.0022500358, -0.11763206]","[3.7897983, 3.577416, 3.507176, 4.169845, 2.4088328, 3.2889493, 3.5708013, 2.9359102, 4.1802444, 3.627565]","[2.573364019393921, 2.8996591567993164, 3.253213405609131, 2.786376953125, 1.575138807296753, 2.333376169204712, 3.0464541912078857, 2.346569299697876, 3.5229382514953613, 2.4942026138305664]"
31,"[-0.7049048, 1.5720317, 2.9539287, -0.11450941, 1.5676807, -0.0987289, -0.10384748, 0.07834061, 0.21767986, -0.13858025, 0.045537114, -0.068729766, 0.053095657, -0.105787285, -0.20977649, -0.15478203, -0.039173234, 0.055966966, 0.06560385, 0.033291887, 0.023263583]","[2.7903848, 2.463597, 2.2410607, 2.127973, 3.202688, 2.9556637, 2.5684164, 2.5404594, 2.451323, 2.1003175]","[3.0582776069641113, 2.630702257156372, 2.29913067817688, 2.461792230606079, 3.0915045738220215, 3.0778005123138428, 2.864570379257202, 2.5927133560180664, 2.349937677383423, 2.0612576007843018]"
32,"[1.4381915, -8.453161, -1.1950576, -12.743245, 1.7702932, 2.8332489, -0.38411406, -0.4915159, -0.94542325, -1.3113993, -0.057574917, 0.36181554, 0.05847955, 0.3672964, -0.15776445, 0.044034325, 0.13397908, 0.3930012, 0.24192367, -0.21097653, -0.0671145]","[0.17266192, 2.281668, 0.3637494, 1.7859173, 2.6456776, 2.3882892, 0.13891478, 0.6683453, 0.1103, 4.876047]","[1.4107745885849, 1.1103236675262451, 2.8371732234954834, 3.4589035511016846, 0.9872850775718689, 4.406088352203369, 0.9976430535316467, 2.0496819019317627, 3.964528799057007, 1.199426293373108]"
33,"[-0.40249255, 3.120051, -1.6840888, 2.7393897, -2.0071337, 0.20031899, 0.2137701, -0.009332962, -0.07674736, -0.19398561, 0.090115994, 0.13467722, -0.20896603, -0.057277538, 0.19111788, 0.011248328, -0.10522776, -0.034222156, 0.053191792, 0.041675508, -0.072889686]","[1.5089808, 1.2995086, 1.7277737, 1.3650134, 0.81015605, 1.4375178, 2.2635431, 1.8946395, 2.314123, 1.2759731]","[2.655344247817993, 2.5206191539764404, 2.748201847076416, 2.2393271923065186, 1.580212116241455, 1.9970479011535645, 3.260131597518921, 2.530573606491089, 3.3431811332702637, 2.77346134185791]"
34,"[-0.83795404, 3.45144, 0.65424156, 0.12740105, -0.47124472, 0.71906126, -0.24990553, -0.122723445, -0.09937502, 0.036018178, -0.14960234, 0.12768541, -0.045673385, 0.017042771, 0.059422098, -0.012604798, 0.010030463, -0.05877634, -0.06322882, 0.03479573, -0.031886477]","[2.828532, 1.7216717, 2.3562295, 2.521179, 2.2213216, 1.8979805, 2.7519512, 1.7018766, 2.3696215, 1.9820608]","[2.8329858779907227, 2.5780203342437744, 3.1353330612182617, 2.7177748680114746, 2.671278476715088, 2.5659735202789307, 2.8402814865112305, 2.5288913249969482, 3.38767147064209, 2.6512792110443115]"
35,"[-0.71959025, 2.7278068, 1.1131045, -0.570254, 0.28882322, -0.5823463, 0.42002997, 0.20854677, 0.44448692, -0.32823035, 0.07371559, -0.09954998, -0.068497516, 0.14608088, -0.04751185, -0.054509453, -0.010655796, -0.005077864, -0.012004604, -0.078652896, 0.024977501]","[1.9919736, 1.9277699, 2.4218826, 2.1551123, 2.5010796, 2.0039225, 2.2349813, 2.2833161, 2.0782032, 2.0616536]","[2.7280759811401367, 2.5387825965881348, 2.6355745792388916, 2.719736337661743, 3.0781054496765137, 2.5453717708587646, 2.8037164211273193, 2.7567453384399414, 2.9194223880767822, 2.738382577896118]"
36,"[1.5156167, -6.483121, -6.574854, -5.599849, -0.16724834, 5.521396, -0.14623797, -1.1049814, 0.029614316, -0.99942005, 0.061962098, 0.33098254, -0.30588293, -0.26477623, -0.15246072, -0.042008005, 0.23999031, 0.41520652, -0.3515202, -0.05853863, -0.08920132]","[2.4090512, 3.1919065, 3.8932202, 4.965954, 0.114816144, 3.2358851, 0.102466665, 0.23397097, 0.1717, 0.85117]","[3.599780797958374, 3.7050094604492188, 4.23947286605835, 4.203721523284912, 0.3459005653858185, 2.4192843437194824, 0.2919142544269562, 0.2415383756160736, 2.431302785873413, 1.5656533241271973]"
37,"[-0.053522404, -0.013535069, 1.0037464, 1.4442196, 1.7548162, -3.409981, -0.7322265, 0.57867724, -0.19552514, -0.045999847, -0.40450627, -0.1221127, -0.038163923, -0.08605099, -0.11631252, -0.08480669, -0.08358008, 0.21762295, -0.15746298, 0.09778146, -0.024105223]","[0.5745283, 1.9304296, 0.14964645, 1.0060946, 1.9766697, 1.4319, 2.4041522, 1.5446266, 1.7069356, 1.1833674]","[2.53401255607605, 2.552853584289551, 1.4232773780822754, 2.2821238040924072, 2.663696050643921, 2.5597481727600098, 3.150020122528076, 2.526446580886841, 2.477529525756836, 2.577763080596924]"
38,"[0.5704616, -3.6742055, -0.3902387, -4.1148467, 0.6078577, -2.867902, 0.8071625, 0.17967257, -0.30629474, 0.29791898, -0.24545571, -0.13812707, -0.016632818, 0.30409303, -0.23757027, 0.11166046, -0.20107788, -0.01023498, -0.05242532, -0.05901069, 0.04951503]","[1.6409413, 1.6584115, 0.91813123, 0.96883214, 1.8041657, 0.88115185, 0.9488634, 0.35379928, 0.83977747, 1.7717427]","[2.712074041366577, 2.234083414077759, 3.1494698524475098, 2.653257131576538, 2.7866551876068115, 2.5430307388305664, 1.6705350875854492, 2.0508806705474854, 1.1755805015563965, 2.643754005432129]"
39,"[-0.8186838, 3.384196, 1.3513448, 2.8334405, -0.047797196, 1.5661899, -0.27574402, -0.3820503, 0.12513544, -0.22013785, 0.02788272, -0.118624374, -0.12150409, -0.022728462, 0.08728477, 0.03605316, 0.08548711, 0.06510879, 0.13348049, -0.009707868, -0.010606411]","[3.5731308, 3.4883504, 3.4705396, 3.1961641, 2.9412518, 3.3809557, 3.6807148, 3.2856534, 3.8176732, 3.3760138]","[3.1005311012268066, 2.364346981048584, 3.2853057384490967, 2.7473344802856445, 2.272554397583008, 2.5990207195281982, 3.5886459350585938, 2.4167697429656982, 2.8668923377990723, 2.5731747150421143]"
40,"[-0.45166638, 1.9721588, -1.1147461, 0.33802673, 4.555201, -3.0079384, -0.4891166, -0.44020823, 0.17734393, 0.09449331, -0.010812049, 0.2680236, -0.059689395, -0.23826702, 0.084667616, 0.03887634, -0.10327978, -0.054679144, 0.0345003, -0.04266088, -0.012282504]","[3.8541703, 3.793269, 0.112101756, 2.830329, 2.2992659, 3.4097102, 2.618519, 2.5753424, 2.7345498, 2.0367856]","[3.381227493286133, 2.889542818069458, 0.5668080449104309, 1.1228164434432983, 2.4428915977478027, 2.521477699279785, 3.1190574169158936, 2.5729868412017822, 2.8634870052337646, 2.5189712047576904]"
41,"[-0.4197896, 1.5269356, 1.5935724, 0.5560348, -2.0086305, 0.6340065, 0.4202731, 0.64789414, 0.048008543, -0.15300103, 0.029070335, -0.044039972, -0.21579981, -0.16343343, -0.03292105, 0.19354165, -0.00020353554, 0.004608451, 0.054362312, -0.022986155, 0.004350406]","[3.00737, 3.1079905, 3.571166, 3.0793273, 3.3169332, 2.8614118, 3.5896335, 3.262267, 2.9604053, 3.2469492]","[2.4212045669555664, 2.595350742340088, 3.2511513233184814, 2.606889247894287, 3.2702245712280273, 2.508704423904419, 3.059704303741455, 2.6453309059143066, 2.1330671310424805, 2.8445959091186523]"
42,"[-0.0927188, -0.2200012, 1.4492334, 3.835099, 1.4003192, -0.26948747, -0.49342215, -0.5844803, -0.12263016, -0.11910769, -0.2591391, -0.2597859, -0.0567491, 0.12055859, -0.07045681, -0.012993062, -0.075666875, 0.07783574, 0.06108033, -0.08548975, -0.050450496]","[3.4750197, 4.6704283, 3.2052426, 3.6389682, 2.558289, 2.512301, 4.5788345, 4.011036, 2.5706446, 2.44497]","[3.031409502029419, 2.677973747253418, 2.7374868392944336, 2.5739870071411133, 2.1775336265563965, 2.293912887573242, 3.495588779449463, 2.9961156845092773, 1.5786306858062744, 2.50736927986145]"
43,"[-0.54420537, 1.8664811, -0.82923603, -5.600894, -1.1763572, 1.4169782, 0.13123152, 0.47187778, 0.4071546, -0.0026174055, 0.03484916, 0.1528935, 0.06895681, -0.04334845, 0.052019246, 0.04280763, -0.0370755, 0.09400045, 0.03004775, 0.07311382, 0.02810778]","[2.3374963, 1.9533921, 3.371223, 2.2763326, 2.065861, 1.8397524, 1.1598121, 2.0015805, 3.930405, 2.198528]","[2.6718761920928955, 2.550718069076538, 2.8204338550567627, 2.545365810394287, 3.0992536544799805, 2.5394773483276367, 1.1793426275253296, 2.647885799407959, 3.6403110027313232, 2.865830898284912]"
