Iteration,test_preds,estimated_params,posterior_means
11,"[-0.22355402, -0.46638083, 4.244439, 1.4623203, 1.2451884, -1.3084369, 0.41834587, -0.0045593083, -0.17501247, -0.30980873, -0.20016599, 0.04674214, -0.011336148, 0.13187182, -0.21576256, -0.11657351, -0.025920073, 0.09590907, -0.05684367, -0.035723925, -0.05599373]","[2.6906164, 1.8876572, 1.7969172, 1.1778928, 3.9625123, 2.7916305, 3.8653219, 4.6440506, 0.67967117, 3.022416]","[2.653477430343628, 1.973836064338684, 1.7871696949005127, 1.1793670654296875, 3.986467123031616, 2.7566490173339844, 3.9065818786621094, 4.573115825653076, 0.6797090768814087, 3.0406103134155273]"
12,"[-0.9582776, 2.4680295, 2.2376928, -2.846646, 0.4934921, 2.7412834, 0.38057244, -0.29012138, -0.03892821, 0.39190328, 0.11340672, 0.16555208, 0.027146846, -0.015383899, -0.2001807, 0.010046065, 0.2793296, 0.013401166, -0.08318552, -0.0040941313, -0.048320845]","[4.2804537, 4.6705384, 4.6890936, 3.5037768, 3.6184645, 4.832197, 1.0690236, 2.4711778, 1.6073414, 4.430645]","[4.2754082679748535, 4.682724952697754, 4.648031234741211, 3.567399501800537, 3.65898060798645, 4.744964122772217, 1.07050359249115, 2.470620632171631, 1.6127196550369263, 4.426278114318848]"
13,"[0.49043417, 0.34126198, -4.297967, 0.40107512, -2.382669, -5.0319886, -0.15799102, -0.009332657, 0.0058311224, 0.07788539, 0.25926757, -0.19620028, 0.007851243, -0.1104157, 0.19752748, -0.077546, -0.18827367, 0.02614075, 0.09240615, 0.088704705, 0.093408525]","[0.6332152, 0.825455, 1.4912585, 1.2742383, 1.0491722, 3.352685, 3.6567416, 1.1956075, 4.623327, 2.2504168]","[0.6317571401596069, 0.872184693813324, 1.5073281526565552, 1.1546353101730347, 1.0884953737258911, 3.2927846908569336, 3.540226459503174, 1.3943794965744019, 4.435517311096191, 2.4789838790893555]"
14,"[0.3268137, -1.2196894, -4.3247743, -2.6909564, 0.07400793, 0.6377113, 0.063603766, 0.321908, -0.29944628, 0.29696712, -0.44516826, 0.029971838, -0.16127104, 0.21642452, 0.15922058, -0.09805843, 0.006409526, -0.08934721, 0.075146616, -0.022298709, -0.05531548]","[1.0624192, 4.337005, 2.4544163, 1.820345, 2.8206153, 0.75240105, 0.17237473, 2.3167858, 3.3271918, 2.7954464]","[1.0750091075897217, 4.354794502258301, 2.4301881790161133, 1.8437145948410034, 2.753281593322754, 0.779237687587738, 0.187433123588562, 2.3609580993652344, 3.2690186500549316, 2.926527976989746]"
15,"[-0.97156847, 3.7913718, 2.6021786, 0.7659756, 0.01024121, 0.7540269, -0.3430934, 0.13193329, 0.44777775, -0.13896811, 0.018777609, -0.21997638, 0.12971619, -0.019288838, -0.024910323, 0.03698346, 0.0700826, 0.058866084, 0.098772034, -0.056746215, 0.009700485]","[3.758989, 0.15592131, 4.034652, 1.5155983, 3.8224466, 3.6814892, 2.4521644, 2.623351, 4.2724876, 0.5284646]","[3.153756856918335, 0.6176913976669312, 3.187319278717041, 2.2619216442108154, 3.899481773376465, 3.7055349349975586, 3.2159667015075684, 1.8112821578979492, 4.381439685821533, 0.45218294858932495]"
16,"[-0.5065898, 1.022511, 0.48165226, -3.44897, 4.1276603, -2.0364263, 0.00609909, 0.017758071, 0.040583074, 0.31699237, 0.11713135, -0.0075535774, 0.1783694, 0.034604073, -0.22390127, 0.034876823, -0.09427357, 0.08437008, -0.060678467, -0.1823253, 0.09518425]","[3.4837868, 3.6756752, 1.1946071, 0.1023, 4.531528, 3.7805483, 1.6593149, 1.4513144, 2.874225, 2.5019197]","[3.385704755783081, 3.7944586277008057, 1.073742151260376, 0.27096328139305115, 4.639248371124268, 3.7049601078033447, 1.687279224395752, 1.4281222820281982, 2.886826515197754, 2.4876630306243896]"
17,"[0.407956, -1.151536, -1.6947448, 3.9191473, -1.846589, 1.4908866, 0.5612266, -0.36069465, 0.036145627, -0.13957684, -0.014373183, 0.003721714, -0.3062414, 0.08553159, 0.0013082474, 0.1096921, 0.025002718, 0.02396208, -0.044731207, 0.036317945, 0.00034242868]","[1.4883823, 2.647413, 4.2828217, 4.242977, 0.5517759, 1.9066131, 2.9746795, 4.0035477, 0.70452136, 4.134595]","[1.4986255168914795, 2.624757766723633, 4.274389743804932, 4.25099515914917, 0.5565606355667114, 1.9011528491973877, 2.9814281463623047, 3.985668182373047, 0.7065864205360413, 4.133068084716797]"
18,"[-0.054961085, -1.5214133, 0.30129847, -4.1736574, 0.94176495, -0.07081962, -0.08075079, -0.03338957, 0.026179552, 0.31868804, -0.40072185, 0.25495547, -0.05425811, 0.08716321, -0.15323684, -0.18036407, -0.041371226, -0.019780606, 0.016030073, 0.09275854, 0.020917542]","[1.9084157, 4.726057, 0.92554283, 2.894642, 4.060705, 2.0854242, 0.5032436, 3.2772896, 2.145653, 1.5949093]","[1.9243054389953613, 4.677007675170898, 0.926011860370636, 2.8921988010406494, 4.060356616973877, 2.086364984512329, 0.4916590452194214, 3.3195464611053467, 2.1575615406036377, 1.5751185417175293]"
19,"[-0.8049198, 3.982884, -0.35654402, 1.17325, -0.2599454, 0.8578942, -0.06482732, -0.20722204, -0.028604634, -0.084658116, 0.2340003, -0.28984278, 0.009650439, 0.12849772, 0.21528259, 0.07475157, -0.032755584, 0.0063095093, 0.05410513, -0.050958037, -0.056408394]","[3.1064527, 1.0945784, 4.208137, 1.7416898, 0.6665253, 4.5184836, 3.694658, 1.1363369, 4.445008, 4.7402053]","[2.9268977642059326, 1.2440166473388672, 4.132850170135498, 2.1249477863311768, 0.797493577003479, 4.223381042480469, 3.799069881439209, 1.0767905712127686, 4.548026084899902, 4.23836612701416]"
20,"[-0.6009692, 2.1152983, -0.5002074, -0.37495244, 0.6091946, 1.8686931, 0.04646766, -0.2083985, 0.17424303, 0.1518585, 0.120349884, -0.08557497, -0.093456805, -0.1482068, 0.04061827, -0.08828166, 0.030741386, -0.0050023794, -0.03587389, 0.031832263, -0.024012363]","[4.209361, 2.4704115, 2.2459514, 4.1846137, 1.7382491, 2.7356257, 1.8911289, 1.8287293, 2.9939036, 2.8649814]","[4.204312324523926, 2.481333017349243, 2.2515199184417725, 4.175584316253662, 1.73439621925354, 2.733999013900757, 1.8880133628845215, 1.8391095399856567, 2.986201524734497, 2.876650094985962]"
21,"[1.1282512, -5.051683, 2.2619507, 2.559764, -2.3248014, -2.2380154, -0.33265206, -0.035365626, -0.31654525, -0.15717608, -0.44265676, -0.13780284, -0.06230846, -0.22813982, -0.028594226, -0.10597545, 0.04750964, -0.057964176, -0.10425934, -0.07157254, 0.013338715]","[0.71324134, 1.7343552, 2.663771, 0.1177, 3.4447432, 0.18757127, 3.0144887, 3.9474807, 1.084335, 0.7502067]","[0.5244024395942688, 2.2161319255828857, 2.1203575134277344, 1.2045176029205322, 3.0128793716430664, 0.8323165774345398, 3.0792436599731445, 4.024071216583252, 1.0590333938598633, 0.8117774128913879]"
22,"[-0.46228522, 2.7301874, -1.0395204, -0.7302031, -2.568808, -0.62272, 0.0109400675, 0.104296446, -0.30253798, 0.23877037, -0.09450257, -0.026766136, 0.011518732, 0.17934412, 0.10806991, 0.16238171, -0.11189887, -0.055894557, -0.06052044, -0.01592885, -0.059673205]","[0.17635366, 3.6231282, 4.318465, 1.3504449, 2.9117427, 1.2770079, 2.5512617, 2.01286, 3.2367249, 3.6506977]","[0.18459655344486237, 3.602036237716675, 4.320051670074463, 1.3451945781707764, 2.9179444313049316, 1.2756249904632568, 2.5346479415893555, 2.0327107906341553, 3.2411539554595947, 3.6518774032592773]"
23,"[0.4221182, -4.303532, 6.056602, 2.3367007, 2.9155006, -0.7498069, 0.54255337, -0.08307868, 0.018291414, -0.42339435, -0.043466628, 0.23959196, 0.25024512, -0.29309535, 0.06677002, -0.2873545, -0.1269594, -0.032660186, 0.123073235, 0.096542776, -0.1636442]","[4.362467, 2.6514304, 0.37604597, 4.3218365, 2.4114308, 4.578386, 3.4695225, 4.351396, 0.23801367, 1.9581141]","[4.386924743652344, 2.540963888168335, 0.4487720727920532, 4.062042236328125, 2.712860584259033, 4.069061756134033, 3.5825459957122803, 4.117109775543213, 0.25955477356910706, 1.906172752380371]"
24,"[0.91615474, -5.6272626, 0.88592124, 1.8894475, 0.96596193, 1.900209, -0.7776266, -0.34794882, 0.3024155, 0.21077189, -0.26850224, -0.398264, 0.027471691, -0.07657164, -0.027101614, -0.025751412, 0.052346528, -0.010618329, 0.0017426461, -0.03143519, 0.029996663]","[3.027896, 4.188421, 3.6910682, 2.1047528, 0.13802183, 3.7660036, 1.1452206, 3.3769834, 1.7485087, 0.15132576]","[2.9863169193267822, 4.254841327667236, 3.5420992374420166, 2.2269556522369385, 0.19621014595031738, 3.6327855587005615, 1.14155113697052, 3.3798201084136963, 1.7265199422836304, 0.175208181142807]"
25,"[-1.0380534, 5.1247644, 1.100291, -1.0109684, -0.82580614, -1.057231, 0.09968513, 0.69174707, 0.2919593, -0.25337523, 0.20439857, -0.024040699, 0.18436778, 0.035883486, 0.17261761, 0.02370958, -0.12798944, 0.013562005, 0.04335773, 0.01106751, 0.11028139]","[1.0903566, 0.70991766, 2.2161338, 3.9242349, 4.2772994, 1.2313826, 4.6763806, 0.58864284, 4.9869504, 4.6692824]","[1.2326748371124268, 0.6275518536567688, 2.4070000648498535, 3.6101794242858887, 4.345907211303711, 1.2335903644561768, 4.475142002105713, 0.7967723608016968, 4.843687534332275, 4.681657314300537]"
26,"[2.4822454, -12.520331, 0.7253588, -1.2545596, 1.5490702, 1.6306303, -0.21741381, 0.22721183, -0.1939221, 0.18336523, 0.055157423, 0.11503172, -0.15970278, -0.21380043, 0.317821, -0.18275023, -0.019851506, -0.058412433, -0.114905626, 0.035043746, 0.15658312]","[2.1228268, 3.1310308, 0.2713219, 4.514313, 1.8047413, 0.39564052, 0.84099936, 1.0326171, 0.51080924, 0.6224105]","[2.1487715244293213, 3.0833423137664795, 0.3297896087169647, 4.378127098083496, 1.8097760677337646, 0.41258808970451355, 0.824853777885437, 1.0518534183502197, 0.5141950249671936, 0.6197459697723389]"
27,"[-1.226316, 5.5687833, 1.9399171, 1.2639306, -0.33820283, 0.48865932, -0.06208928, 0.07645936, -0.11702439, -0.21153492, 0.04528171, -0.005418852, 0.05503419, 0.19149274, 0.10432372, 0.08829373, 0.09560683, 0.042584702, 0.0887754, -0.06071367, -0.03884784]","[2.9173472, 2.4853704, 4.9392, 0.26183242, 3.178522, 2.476431, 4.7291923, 3.2035823, 3.548927, 3.8948178]","[2.922943115234375, 2.476233720779419, 4.8492112159729, 0.38169237971305847, 3.183357000350952, 2.482933759689331, 4.759260654449463, 3.146385669708252, 3.516961097717285, 3.978555202484131]"
28,"[-1.4735253, 6.000043, 1.8792224, -1.3731444, 1.9210684, 0.51507854, -0.06703308, -0.280583, -0.02947691, 0.11979842, 0.2103381, 0.2388252, 0.27150697, 0.09472728, -0.015258528, -0.14029166, 0.053755917, 0.060368896, -0.027521044, -0.040274918, 0.060252465]","[4.6505904, 4.4155226, 1.7335769, 2.7438262, 4.6161957, 4.5915866, 2.1258829, 4.176826, 4.54651, 4.0569644]","[4.641859531402588, 4.435800552368164, 1.71491277217865, 2.7773375511169434, 4.631102561950684, 4.570894718170166, 2.142697811126709, 4.1168107986450195, 4.559628009796143, 4.029411792755127]"
29,"[1.8754154, -4.038781, -4.52435, 3.0792642, -8.958757, -4.8837733, 0.03032726, -0.8662795, -0.51265854, 0.58510745, 0.5329242, -0.5979372, 0.09394276, -0.21759927, -0.20423529, -0.16176099, 0.28729844, 0.36211282, 0.19649643, 0.005971402, 0.056736976]","[0.36652088, 0.5468564, 3.4459193, 1.7185178, 0.43638209, 2.617259, 3.7140448, 2.5371404, 1.3964422, 2.8194516]","[0.3658595085144043, 0.5506993532180786, 3.4984638690948486, 1.6783164739608765, 0.4353575110435486, 2.6206061840057373, 3.6902353763580322, 2.5708158016204834, 1.3898358345031738, 2.8226683139801025]"
30,"[-0.28522027, 2.4372125, -3.0336752, 1.579805, -1.5134447, 1.1130009, -0.23252523, -0.2822578, -0.17733413, 0.1687892, -0.16600996, 0.15350044, -0.07799816, 0.08879769, 0.23066065, 0.03210409, -0.058479786, -0.060979128, -0.098070934, 0.035323918, -0.11472105]","[0.86301756, 4.7680287, 4.735286, 2.3553357, 1.3167264, 0.9823385, 1.672034, 4.3882446, 3.9430168, 2.7712793]","[0.8724778890609741, 4.739630699157715, 4.7157440185546875, 2.3687658309936523, 1.317633867263794, 0.9837163686752319, 1.6765186786651611, 4.365877628326416, 3.95127272605896, 2.764119863510132]"
31,"[-0.652384, 1.403398, 2.7684636, 0.020947069, 1.2286372, -0.173697, -0.06809366, -0.03436941, 0.15889081, -0.09130579, 0.04316953, -0.05283898, 0.033782274, -0.09478176, -0.20168185, -0.15027413, -0.05317137, 0.05001816, 0.05540684, 0.02798593, 0.025807843]","[4.491543, 0.72651255, 1.1198354, 3.5658996, 4.3084474, 3.1237452, 2.8897154, 2.3064933, 2.5781305, 1.055892]","[4.278315544128418, 1.2354545593261719, 1.1048023700714111, 3.7306807041168213, 3.934143543243408, 3.650890350341797, 2.9970932006835938, 2.3750038146972656, 2.5151586532592773, 1.1210612058639526]"
32,"[1.3600087, -8.745929, -0.20850408, -12.371769, 2.1650715, 2.1742115, -0.2370125, -0.40318325, -0.786976, -1.0957357, -0.023567557, 0.36685747, 0.18431914, 0.34917092, -0.21286589, 0.018880367, 0.13216406, 0.36461157, 0.21405332, -0.23907222, -0.07023233]","[3.207642, 3.23626, 2.9563115, 1.536857, 3.4778194, 3.688798, 0.1002, 0.6134155, 1.1693871, 1.4295186]","[3.1227545738220215, 3.4498825073242188, 3.001436471939087, 1.5284620523452759, 3.5022523403167725, 3.6751339435577393, 0.11537725478410721, 0.5906314849853516, 1.1255372762680054, 1.451989769935608]"
33,"[-0.4218012, 3.106943, -1.4400969, 2.5007658, -1.9726651, 0.14819431, 0.1988303, -0.03898132, -0.029566526, -0.20564544, 0.0756731, 0.11574347, -0.19938722, -0.01938808, 0.18244651, 0.006795585, -0.07539357, -0.025508583, 0.03511651, 0.06123686, -0.060933106]","[1.6107064, 1.6285819, 2.3516095, 4.9856, 1.5479964, 1.20606, 4.405074, 2.7075677, 2.925617, 4.9954]","[1.60626220703125, 1.6101398468017578, 2.4241867065429688, 4.801912784576416, 1.5357656478881836, 1.232395052909851, 4.377040863037109, 2.7149174213409424, 2.9724202156066895, 4.786759376525879]"
34,"[-0.7971273, 3.3301258, 0.8329954, 0.025892938, -0.34995192, 0.5744519, -0.24592528, -0.14029935, -0.10685292, 0.041016355, -0.15925893, 0.14054441, -0.044351168, 0.0324409, 0.06086833, -0.013252452, -0.0005264729, -0.06286824, -0.059114933, 0.030278116, -0.026535956]","[2.0517762, 3.7937775, 2.8861382, 3.3543255, 2.6759946, 2.2532692, 1.8242171, 4.621379, 3.737389, 2.244888]","[1.875909447669983, 3.846911668777466, 2.899951934814453, 3.513211965560913, 2.6959640979766846, 2.3016185760498047, 1.9244914054870605, 4.397105693817139, 3.7428674697875977, 2.2228400707244873]"
35,"[-0.65069747, 2.618233, 0.9589828, -0.7718459, -0.052787066, -0.46175683, 0.43746668, 0.28007022, 0.46854353, -0.35079813, 0.07828593, -0.127577, -0.07056741, 0.162938, -0.032806262, -0.052380253, 0.013044499, -0.0026970506, -0.027807698, -0.07866824, 0.027059913]","[3.5397506, 0.42779163, 1.789452, 2.2699938, 2.3987188, 4.643705, 2.635751, 2.6291654, 2.100111, 4.027266]","[3.4791738986968994, 0.42492032051086426, 1.7554618120193481, 2.350170135498047, 2.4998607635498047, 4.37955379486084, 2.708329677581787, 2.619441270828247, 2.0896735191345215, 3.995911121368408]"
36,"[1.3512325, -5.9559746, -5.7371454, -6.4859757, -0.41670746, 5.64754, 0.023235798, -1.0161325, -0.16753054, -0.8735498, 0.09830952, 0.254184, -0.33372664, -0.2644692, -0.079773664, 0.023356676, 0.1959278, 0.43837914, -0.48579133, -0.06287023, -0.11612529]","[4.884695, 3.788911, 3.1603568, 4.9663, 0.1105, 2.146772, 0.46011096, 0.36545563, 1.7317085, 1.6755724]","[4.606725692749023, 3.9943535327911377, 3.470874547958374, 4.68765115737915, 0.15870800614356995, 2.0002706050872803, 0.4650142788887024, 0.35579586029052734, 1.5603008270263672, 2.000736951828003]"
37,"[-0.044621646, -0.1342423, 1.1304998, 1.0259776, 1.594693, -3.322647, -0.7083397, 0.016512513, -0.13405865, -0.05172497, -0.36811733, -0.115036964, 0.005761504, -0.05202329, -0.14232937, -0.09828222, -0.08584392, 0.18502633, -0.15470614, 0.08655727, -0.013105795]","[1.2115548, 2.4510362, 0.43833625, 1.5744331, 4.8540626, 0.1126, 4.989, 1.9877748, 3.2204697, 0.25917527]","[1.1034170389175415, 2.8668196201324463, 0.5979426503181458, 1.2955455780029297, 4.526907444000244, 0.49516406655311584, 4.741433143615723, 2.197547435760498, 3.1121838092803955, 0.3703382909297943]"
38,"[0.6267823, -4.124593, -0.3678094, -4.195119, 0.69619447, -2.6455748, 0.7731999, 0.2272464, -0.32356334, 0.3037591, -0.30078483, -0.1590923, 0.00049841404, 0.32123327, -0.20926958, 0.10561234, -0.1582663, -0.049176037, -0.029314011, -0.061609805, 0.026249722]","[0.3832831, 2.9633186, 1.2241728, 0.80019647, 4.3371286, 2.0644224, 1.5331329, 1.0200433, 0.34655383, 4.925708]","[0.3778119683265686, 2.969954252243042, 1.232896089553833, 0.8168410062789917, 4.359042167663574, 2.0420126914978027, 1.540286898612976, 1.0126230716705322, 0.36963769793510437, 4.8120646476745605]"
39,"[-0.7490819, 3.0453293, 1.5046462, 3.0223489, 0.0298322, 1.555198, -0.37490642, -0.34668386, -0.13210668, -0.22902195, -0.008067414, -0.15768686, -0.10763416, -0.05547917, 0.07247948, 0.053260833, 0.08919597, 0.06464818, 0.13932437, -0.016605493, -0.0050178766]","[4.5706925, 1.658683, 3.6643305, 3.942546, 0.8857329, 4.1661654, 4.374154, 3.7934933, 3.2978234, 1.7473443]","[4.457154273986816, 1.835805892944336, 3.7774171829223633, 3.780860424041748, 0.9744980931282043, 3.955092668533325, 4.380939960479736, 3.8356094360351562, 3.235846757888794, 1.7717034816741943]"
40,"[-0.3840472, 1.5761976, -0.8821341, 0.3124733, 4.50228, -2.9953098, -0.01651181, -0.4753644, 0.22809798, 0.0947541, -0.049781084, 0.23719025, -0.04946533, -0.24489093, 0.037647337, 0.038900882, -0.10357803, -0.024220765, 0.029020235, -0.07656166, -0.017196357]","[2.5897732, 4.6638722, 0.13512646, 2.1083515, 2.1257293, 3.229942, 2.4565914, 3.5881479, 4.9198794, 1.0732455]","[2.897660255432129, 3.871544361114502, 0.2491159588098526, 1.7476608753204346, 1.9037646055221558, 3.678351640701294, 2.5113813877105713, 3.61521577835083, 4.223033905029297, 1.6473345756530762]"
41,"[-0.38852698, 1.386393, 1.4413893, 0.5052309, -2.019688, 0.7872062, 0.42175418, 0.13584372, -0.0027108192, -0.11015415, 0.018301606, -0.053010747, -0.21830618, -0.15518561, -0.020987213, 0.19776526, 0.0014343262, -0.013746843, 0.05359359, -0.018198986, 0.010778293]","[2.657482, 0.3612334, 4.460134, 3.0213103, 3.677198, 0.716634, 3.4967573, 1.5120951, 1.7440189, 2.5824454]","[2.454505443572998, 0.7231983542442322, 4.1788225173950195, 3.641500473022461, 3.374324321746826, 1.11756432056427, 3.3665640354156494, 1.7604856491088867, 1.6242173910140991, 2.938392162322998]"
42,"[-0.027822018, -0.43856168, 1.2580552, 3.8818452, 1.4144449, -0.47646904, -0.4371223, -0.57461065, -0.12733406, -0.112277806, -0.25923514, -0.27224797, -0.061107814, 0.11585659, -0.07863165, -0.01095134, -0.07017085, 0.06975372, 0.054384857, -0.05247707, -0.051700085]","[2.3738623, 4.786898, 2.231027, 1.2414699, 0.70426023, 4.066224, 4.8510575, 4.224346, 2.0092902, 1.0503936]","[2.44943904876709, 4.642180919647217, 2.2568857669830322, 1.2091093063354492, 0.7017008066177368, 4.083896160125732, 4.799976348876953, 4.26956033706665, 2.004002809524536, 1.0596089363098145]"
43,"[-0.52498406, 1.6981614, -0.618409, -5.5244017, -1.1577325, 1.4609177, 0.07957888, 0.4987868, 0.44872558, 6.455183e-05, 0.010664642, 0.14816529, 0.061091274, -0.051335156, 0.04656224, 0.02812365, -0.022940934, 0.1277639, 0.046879917, 0.08338618, 0.035109285]","[2.7023804, 0.9079732, 2.6940887, 4.703916, 4.5676084, 1.6560158, 0.84529746, 1.3110857, 3.7933836, 3.6993997]","[2.71757173538208, 0.8964621424674988, 2.7973034381866455, 4.547179222106934, 4.509071350097656, 1.7481651306152344, 0.8267086744308472, 1.3384990692138672, 3.7930219173431396, 3.6703765392303467]"
44,"[-0.77022845, 3.4058592, -0.49849868, 0.67826486, 2.6774378, 0.03100586, -0.021327741, 0.152557, -0.33733198, 0.14186248, 0.270427, -0.14578485, -0.017862156, 0.017537534, 0.13111842, -0.17397588, -0.03808409, 0.027554184, 0.043700755, 0.06982982, 0.045839988]","[4.3842897, 3.212566, 0.96417373, 2.1612866, 3.1887052, 0.8682349, 3.579492, 1.1463017, 3.3775806, 3.7125275]","[4.395845890045166, 3.246088981628418, 0.9926499128341675, 2.2136411666870117, 3.293229579925537, 0.8601990938186646, 3.598193407058716, 1.2272908687591553, 3.36377215385437, 3.7097535133361816]"
