Iteration,test_preds,estimated_params
20,"[-0.62639856, 2.1651597, -0.38010406, -0.45050305, 0.5859177, 1.8370851, 0.06546569, -0.1894742, 0.16176385, 0.15512118, 0.12159786, -0.08486757, -0.09406911, -0.12755829, 0.03381548, -0.08800261, 0.02891919, 0.001649987, -0.03643781, 0.03676515, -0.020422474]","[4.21164, 2.5339775, 2.139682, 4.325069, 1.6604877, 2.749261, 1.9089961, 1.782526, 3.0932577, 2.7038825]"
21,"[1.1698713, -5.081459, 2.1062665, 2.6212544, -2.2257555, -2.5137017, -0.38488275, 0.61816204, -0.5128982, -0.034211516, -0.46631992, -0.13908947, -0.07983162, -0.21592486, -0.06426157, -0.11540783, 0.035009623, 0.029032797, -0.163331, -0.08079058, 0.016787648]","[0.9238945, 1.25729, 2.5723257, 0.63680845, 3.1981008, 0.49855936, 2.6735406, 4.272433, 1.0726597, 0.76986146]"
22,"[-0.42871797, 2.6276922, -1.1046455, -0.69146645, -2.8269463, -0.7122948, -0.033581056, 0.09544334, -0.3670492, 0.28666377, -0.11070317, 0.0055856407, 0.010868251, 0.13613242, 0.09664346, 0.17837122, -0.13915275, -0.061945498, -0.05634747, -0.02294777, -0.067438215]","[0.36176157, 3.287027, 4.427232, 1.0200512, 2.7997508, 1.4847937, 2.3661418, 2.1738336, 3.1843312, 4.0046864]"
23,"[0.4175012, -4.4380336, 6.039549, 2.1933465, 2.9558172, -0.7582694, 0.6051954, -0.5518478, -0.045202404, -0.36529678, -0.03299111, 0.25032228, 0.28358138, -0.31248397, 0.08163804, -0.28387883, -0.16675794, -0.022491865, 0.10888403, 0.09482819, -0.15025194]","[4.527758, 2.247402, 0.38894197, 4.430792, 2.5417588, 4.266452, 3.5258064, 4.4941864, 0.27649, 1.87973]"
24,"[1.0360415, -6.1581845, 1.0173357, 2.3605027, 0.74008965, 2.161138, -0.91134137, -0.4744284, 0.38819638, 0.20128793, -0.32216632, -0.3944258, 0.05306214, -0.05818069, -0.010905057, 0.005240917, 0.069535434, -0.0012143254, -0.009604648, -0.043688655, 0.04074025]","[3.1046999, 4.28742, 3.0840259, 2.1140368, 0.4281213, 3.186704, 1.2323335, 2.858209, 1.784199, 0.2530373]"
25,"[-0.999133, 5.0842676, 0.52620125, -0.83075774, -0.9955194, -1.2553377, 0.15137261, 0.63396406, 0.2551133, -0.24515812, 0.20480889, -0.0031661876, 0.16644211, 0.046218902, 0.17970458, 0.009810716, -0.15440872, -0.00113694, 0.0433866, 0.0243676, 0.10879845]","[2.0532174, 0.6145149, 1.7333059, 3.31411, 4.8498907, 1.4030778, 4.3540416, 0.67957085, 4.8885117, 3.3409183]"
26,"[2.696886, -13.149172, 0.41456127, -0.9336802, 1.2918849, 1.6405567, -0.046402603, 0.26309824, -0.124041796, 0.27728617, 0.078115225, 0.21626103, -0.20255601, -0.15149187, 0.38376904, -0.1744281, -0.06418437, -0.01053226, -0.045930177, 0.013391316, 0.22485137]","[2.091919, 3.3801239, 0.37370956, 4.1382008, 2.0030074, 0.57141274, 0.9305357, 0.9382393, 0.65973514, 0.53242177]"
27,"[-1.2507206, 5.645891, 1.902607, 1.2290503, -0.25777712, 0.5817039, -0.033448905, 0.05699855, -0.20035619, -0.14769053, 0.04527439, -0.007216193, 0.06878173, 0.20111853, 0.094173074, 0.08820528, 0.08697079, 0.049043447, 0.08210868, -0.04867147, -0.04698319]","[3.02384, 2.028178, 4.812456, 0.3998696, 3.0259445, 2.746496, 4.7482977, 3.3053415, 3.5668175, 3.6284301]"
28,"[-1.4656771, 5.9399314, 1.9494858, -1.320848, 1.8466914, 0.53295827, -0.08245304, -0.2674772, -0.0490658, 0.14087838, 0.19415052, 0.24599242, 0.26963115, 0.07465464, -0.032923058, -0.13524765, 0.054555837, 0.06646916, -0.031150162, -0.047750384, 0.051585928]","[4.943188, 4.063588, 1.7745978, 2.5230298, 4.447264, 4.954427, 2.03984, 4.306714, 4.583272, 4.290985]"
29,"[1.6139975, -3.1922767, -4.176149, 2.949964, -8.553326, -4.8584743, 0.087711275, -0.9391729, -0.51463985, 0.47282743, 0.5022756, -0.52825797, 0.017941058, -0.18276298, -0.1328385, -0.23236898, 0.35893524, 0.28603387, 0.14975859, -0.0030674338, 0.071914375]","[0.34929606, 0.51721376, 3.5440798, 1.6187668, 0.47245097, 2.20899, 3.818378, 1.7724994, 1.4000131, 2.4214666]"
30,"[-0.2591884, 2.3204174, -2.9871473, 1.852299, -1.6429536, 1.4036796, -0.2213532, -0.19467151, -0.20114267, 0.17419966, -0.19734941, 0.1785908, -0.10072964, 0.03226161, 0.19534996, 0.07521595, -0.075553775, -0.072447434, -0.09502162, 0.004565954, -0.10267925]","[0.7611289, 4.9035983, 4.374363, 2.3823302, 1.2502491, 1.1551541, 1.5432787, 4.541529, 4.0573997, 2.9368362]"
31,"[-0.6955497, 1.5617886, 3.0563338, -0.119855545, 1.5884037, -0.13472009, -0.09698814, 0.06278251, 0.20641422, -0.13239758, 0.043428272, -0.053159013, 0.049548358, -0.097898066, -0.20389645, -0.14804897, -0.046121746, 0.04998654, 0.06723689, 0.033504963, 0.022844888]","[4.426232, 1.1979917, 1.0917058, 3.4895625, 3.8964899, 3.2486975, 2.9360635, 2.2722604, 2.4416134, 1.172139]"
32,"[1.4690988, -8.8273535, -1.3854333, -12.81146, 1.879861, 2.8621335, -0.39160368, -0.5031088, -0.9685677, -1.4578884, -0.054476023, 0.3505969, 0.04756019, 0.3808242, -0.16157982, 0.04674065, 0.12790632, 0.36017424, 0.21470588, -0.2633432, -0.05213154]","[3.6201565, 2.5927038, 3.0592155, 1.1501551, 3.6664805, 4.4292803, 0.11258226, 0.72098213, 0.88029826, 1.5791289]"
33,"[-0.40172327, 3.1205573, -1.6792445, 2.7263436, -1.9857935, 0.21578622, 0.2176399, -0.010956228, -0.07863745, -0.18895221, 0.095505685, 0.13900684, -0.20281109, -0.05433166, 0.18379381, 0.006570533, -0.10736102, -0.025744423, 0.04945007, 0.044887334, -0.070024334]","[1.62893, 1.5621833, 2.4208949, 4.808136, 1.5222197, 1.3499328, 4.139312, 3.0548382, 2.8463538, 4.9435134]"
34,"[-0.8356676, 3.4611902, 0.6250372, 0.14547205, -0.45476532, 0.7309923, -0.24865991, -0.12410501, -0.09536809, 0.03548622, -0.14724207, 0.13186124, -0.04658305, 0.018585324, 0.061697036, -0.008946402, 0.008411869, -0.054025553, -0.058310658, 0.036427423, -0.02919612]","[1.7252617, 4.007069, 2.7975173, 3.3250566, 2.5858283, 2.3201685, 1.8401122, 4.702474, 3.8153305, 2.014797]"
35,"[-0.70181453, 2.6899076, 1.1246295, -0.5668733, 0.28294444, -0.5921283, 0.42278665, 0.21175829, 0.46659663, -0.33308837, 0.081770256, -0.109918, -0.061981913, 0.14256394, -0.04511985, -0.05539541, 0.0008430071, -0.0020126775, -0.010031691, -0.07935074, 0.023446728]","[3.275688, 0.3083386, 1.8905894, 2.2292066, 2.3741565, 4.550632, 2.6226554, 2.4880812, 2.1492074, 3.961435]"
36,"[1.4726449, -6.3680315, -6.2286353, -6.0265536, -0.12401447, 5.9952397, -0.166717, -1.1269602, -0.061920583, -0.91403645, 0.10166809, 0.2677036, -0.31828305, -0.27133358, -0.14979503, -0.034706756, 0.24093068, 0.44920892, -0.53182024, -0.056304336, -0.078487374]","[3.9412234, 3.7363968, 3.7635567, 4.709778, 0.12855187, 2.8461194, 0.48888296, 0.34065676, 1.0888113, 3.180405]"
